value,real
"tf.Tensor([105.44025], shape=(1,), dtype=float32)",104
"tf.Tensor([92.238144], shape=(1,), dtype=float32)",96
"tf.Tensor([68.61271], shape=(1,), dtype=float32)",72
"tf.Tensor([75.07118], shape=(1,), dtype=float32)",70
"tf.Tensor([101.885185], shape=(1,), dtype=float32)",98
"tf.Tensor([93.81871], shape=(1,), dtype=float32)",92
"tf.Tensor([65.07515], shape=(1,), dtype=float32)",67
"tf.Tensor([80.69335], shape=(1,), dtype=float32)",97
"tf.Tensor([69.243126], shape=(1,), dtype=float32)",70
"tf.Tensor([83.725914], shape=(1,), dtype=float32)",78
"tf.Tensor([104.832405], shape=(1,), dtype=float32)",108
"tf.Tensor([91.95924], shape=(1,), dtype=float32)",101
"tf.Tensor([71.343216], shape=(1,), dtype=float32)",71
"tf.Tensor([79.22752], shape=(1,), dtype=float32)",66
"tf.Tensor([93.60354], shape=(1,), dtype=float32)",94
"tf.Tensor([65.01801], shape=(1,), dtype=float32)",64
"tf.Tensor([89.77014], shape=(1,), dtype=float32)",90
"tf.Tensor([65.94325], shape=(1,), dtype=float32)",59
"tf.Tensor([90.831665], shape=(1,), dtype=float32)",84
"tf.Tensor([73.07025], shape=(1,), dtype=float32)",81
"tf.Tensor([59.00202], shape=(1,), dtype=float32)",57
"tf.Tensor([82.4032], shape=(1,), dtype=float32)",75
"tf.Tensor([56.322403], shape=(1,), dtype=float32)",55
"tf.Tensor([76.14429], shape=(1,), dtype=float32)",73
"tf.Tensor([50.86502], shape=(1,), dtype=float32)",54
"tf.Tensor([60.691395], shape=(1,), dtype=float32)",51
"tf.Tensor([72.62466], shape=(1,), dtype=float32)",70
"tf.Tensor([58.1681], shape=(1,), dtype=float32)",49
"tf.Tensor([74.41263], shape=(1,), dtype=float32)",64
"tf.Tensor([51.298244], shape=(1,), dtype=float32)",46
"tf.Tensor([62.32694], shape=(1,), dtype=float32)",62
"tf.Tensor([50.55207], shape=(1,), dtype=float32)",46
"tf.Tensor([60.198288], shape=(1,), dtype=float32)",61
"tf.Tensor([51.975952], shape=(1,), dtype=float32)",47
