value
"tf.Tensor([90.501045], shape=(1,), dtype=float32)"
"tf.Tensor([69.26509], shape=(1,), dtype=float32)"
"tf.Tensor([96.77945], shape=(1,), dtype=float32)"
"tf.Tensor([83.165], shape=(1,), dtype=float32)"
"tf.Tensor([92.490105], shape=(1,), dtype=float32)"
"tf.Tensor([92.826775], shape=(1,), dtype=float32)"
"tf.Tensor([67.52047], shape=(1,), dtype=float32)"
"tf.Tensor([63.37088], shape=(1,), dtype=float32)"
"tf.Tensor([103.67885], shape=(1,), dtype=float32)"
"tf.Tensor([84.39217], shape=(1,), dtype=float32)"
"tf.Tensor([68.73959], shape=(1,), dtype=float32)"
"tf.Tensor([68.517235], shape=(1,), dtype=float32)"
"tf.Tensor([105.42033], shape=(1,), dtype=float32)"
"tf.Tensor([90.26164], shape=(1,), dtype=float32)"
"tf.Tensor([75.99356], shape=(1,), dtype=float32)"
"tf.Tensor([75.822784], shape=(1,), dtype=float32)"
"tf.Tensor([107.02148], shape=(1,), dtype=float32)"
"tf.Tensor([75.69755], shape=(1,), dtype=float32)"
"tf.Tensor([106.09298], shape=(1,), dtype=float32)"
"tf.Tensor([96.8124], shape=(1,), dtype=float32)"
"tf.Tensor([81.90981], shape=(1,), dtype=float32)"
"tf.Tensor([68.8236], shape=(1,), dtype=float32)"
"tf.Tensor([105.92141], shape=(1,), dtype=float32)"
"tf.Tensor([97.370735], shape=(1,), dtype=float32)"
"tf.Tensor([73.89091], shape=(1,), dtype=float32)"
"tf.Tensor([71.49728], shape=(1,), dtype=float32)"
"tf.Tensor([108.88564], shape=(1,), dtype=float32)"
"tf.Tensor([81.911255], shape=(1,), dtype=float32)"
"tf.Tensor([105.44557], shape=(1,), dtype=float32)"
"tf.Tensor([104.943825], shape=(1,), dtype=float32)"
"tf.Tensor([91.341484], shape=(1,), dtype=float32)"
"tf.Tensor([110.797035], shape=(1,), dtype=float32)"
"tf.Tensor([86.31956], shape=(1,), dtype=float32)"
"tf.Tensor([112.50769], shape=(1,), dtype=float32)"
"tf.Tensor([108.27312], shape=(1,), dtype=float32)"
"tf.Tensor([79.03219], shape=(1,), dtype=float32)"
"tf.Tensor([108.31076], shape=(1,), dtype=float32)"
"tf.Tensor([79.578476], shape=(1,), dtype=float32)"
"tf.Tensor([110.51479], shape=(1,), dtype=float32)"
"tf.Tensor([110.45075], shape=(1,), dtype=float32)"
"tf.Tensor([97.93471], shape=(1,), dtype=float32)"
"tf.Tensor([112.99847], shape=(1,), dtype=float32)"
"tf.Tensor([83.76366], shape=(1,), dtype=float32)"
"tf.Tensor([83.877716], shape=(1,), dtype=float32)"
"tf.Tensor([97.880325], shape=(1,), dtype=float32)"
"tf.Tensor([104.14054], shape=(1,), dtype=float32)"
"tf.Tensor([105.17794], shape=(1,), dtype=float32)"
"tf.Tensor([87.0482], shape=(1,), dtype=float32)"
"tf.Tensor([109.28275], shape=(1,), dtype=float32)"
"tf.Tensor([110.419655], shape=(1,), dtype=float32)"
"tf.Tensor([82.915855], shape=(1,), dtype=float32)"
"tf.Tensor([85.91474], shape=(1,), dtype=float32)"
"tf.Tensor([109.25915], shape=(1,), dtype=float32)"
"tf.Tensor([102.89372], shape=(1,), dtype=float32)"
"tf.Tensor([83.74673], shape=(1,), dtype=float32)"
"tf.Tensor([82.541824], shape=(1,), dtype=float32)"
"tf.Tensor([108.521126], shape=(1,), dtype=float32)"
"tf.Tensor([85.49772], shape=(1,), dtype=float32)"
"tf.Tensor([79.167564], shape=(1,), dtype=float32)"
"tf.Tensor([110.715836], shape=(1,), dtype=float32)"
"tf.Tensor([80.44297], shape=(1,), dtype=float32)"
"tf.Tensor([74.156586], shape=(1,), dtype=float32)"
"tf.Tensor([113.88311], shape=(1,), dtype=float32)"
"tf.Tensor([94.87769], shape=(1,), dtype=float32)"
"tf.Tensor([107.86024], shape=(1,), dtype=float32)"
"tf.Tensor([111.27933], shape=(1,), dtype=float32)"
"tf.Tensor([74.237755], shape=(1,), dtype=float32)"
"tf.Tensor([97.844284], shape=(1,), dtype=float32)"
