value,real
"tf.Tensor([98.89887], shape=(1,), dtype=float32)",108
"tf.Tensor([82.095894], shape=(1,), dtype=float32)",101
"tf.Tensor([64.37615], shape=(1,), dtype=float32)",71
"tf.Tensor([82.12571], shape=(1,), dtype=float32)",66
"tf.Tensor([91.242455], shape=(1,), dtype=float32)",94
"tf.Tensor([67.32829], shape=(1,), dtype=float32)",64
"tf.Tensor([85.32139], shape=(1,), dtype=float32)",90
"tf.Tensor([64.95666], shape=(1,), dtype=float32)",59
"tf.Tensor([81.898026], shape=(1,), dtype=float32)",84
"tf.Tensor([62.153122], shape=(1,), dtype=float32)",81
"tf.Tensor([49.443016], shape=(1,), dtype=float32)",57
"tf.Tensor([63.792786], shape=(1,), dtype=float32)",75
"tf.Tensor([48.021133], shape=(1,), dtype=float32)",55
"tf.Tensor([64.022644], shape=(1,), dtype=float32)",73
"tf.Tensor([48.07064], shape=(1,), dtype=float32)",54
"tf.Tensor([62.49518], shape=(1,), dtype=float32)",51
"tf.Tensor([75.18116], shape=(1,), dtype=float32)",70
"tf.Tensor([60.749336], shape=(1,), dtype=float32)",49
"tf.Tensor([70.4623], shape=(1,), dtype=float32)",64
